Dates,vader_score,roberta_score
2021-01-01,157,27
2021-01-02,291,61
2021-01-03,297,5
2021-01-04,195,-41
2021-01-05,202,-4
2021-01-06,224,37
2021-01-07,284,-9
2021-01-08,306,22
2021-01-09,220,-35
2021-01-10,211,-105
2021-01-11,225,-164
2021-01-12,137,-48
2021-01-13,125,-38
2021-01-14,137,-45
2021-01-15,150,-13
2021-01-16,133,-5
2021-01-17,107,-17
2021-01-18,121,42
2021-01-19,144,35
2021-01-20,113,-8
2021-01-21,132,-20
2021-01-22,115,-9
2021-01-23,98,20
2021-01-24,97,25
2021-01-25,119,64
2021-01-26,96,38
2021-01-27,80,30
2021-01-28,146,83
2021-01-29,178,119
2021-01-30,152,41
2021-01-31,184,58
2021-02-01,189,21
2021-02-02,173,92
2021-02-03,180,116
2021-02-04,145,38
